Primary emotion,Secondary emotion,Tertiary emotion,value
postive,love,admiration,0
postive,joy,amusement,0
negative,anger,anger,0
negative,anger,annoyance,0
neutral,neutral,approval,0
postive,love,caring,0
neutral,neutral,confusion,0
neutral,neutral,curiosity,0
postive,love,desire,0
negative,sadness,disappointment,0
negative,sadness,disapproval,0
negative,anger,disgust,0
negative,sadness,embarrassment,0
postive,joy,excitement,0
negative,fear,fear,0
postive,love,gratitude,0
negative,sadness,grief,0
postive,joy,joy,0
postive,love,love,0
negative,fear,nervousness,0
postive,joy,optimism,0
postive,joy,pride,0
neutral,neutral,realization,0
postive,joy,relief,0
negative,sadness,remorse,0
negative,sadness,sadness,0
negative,fear,surprise,0
